Time(15A),Voltage(15A),Time(20A),Voltage(20A),Time(25A),Voltage(25A),Time(27A),Voltage(27A),Time(30A),Voltage(30A)
19.663272511703735,12.242674903116754,19.71597822526711,12.106605187601923,20.61197535584452,11.925741636872122,19.76868393883049,11.85978890462093,19.663272511703735,11.73744996271471
20.24303536090088,12.237272631533038,20.295741074464257,12.097601401629065,21.191738205041666,11.917075492873245,20.348446788027633,11.845833036362999,20.24303536090088,11.720792958664921
20.82279821009803,12.232208001923304,20.875503923661405,12.089610541578152,21.771501054238815,11.906383497030475,20.928209637224782,11.832439904728371,20.82279821009803,11.707399827030294
21.402561059295174,12.225230067794339,21.45526677285855,12.08150713420258,22.35126390343596,11.896029143161687,21.507972486421927,11.81848403647044,21.402561059295174,11.692093390876433
21.982323908492322,12.219715248885963,22.0350296220557,12.072728442879042,22.93102675263311,11.88409912674765,22.087735335619076,11.805090904835811,21.982323908492322,11.67768733331986
22.562086757689467,12.21453807195157,22.614792471252844,12.06473758282813,23.510789601830254,11.873744772878862,22.66749818481622,11.791360131227203,22.562086757689467,11.663618917737267
23.141849606886616,12.209811084315819,23.194555320449993,12.05719691207586,24.0905524510274,11.86147711449084,23.24726103401337,11.779655209462486,23.141849606886616,11.648875218206712
23.72161245608376,12.204408812732103,23.774318169647138,12.04931859934961,24.67031530022455,11.849434550752143,23.82702388321052,11.767275003749806,23.72161245608376,11.634694255299458
24.301375305280907,12.199119088473049,24.35408101884429,12.041552833948018,25.250078149421697,11.83851746026005,24.406786732407667,11.755344987335768,24.301375305280907,11.621076029015509
24.88113815447806,12.19337917491535,24.933843868041436,12.033111784598463,25.82984099861884,11.826925085819996,24.986549581604812,11.742852234298425,24.88113815447806,11.606444876809613
25.460901003675204,12.187751808682314,25.51360671723858,12.024445640599586,26.409603847815987,11.815782900678583,25.566312430801958,11.731259859858369,25.460901003675204,11.590688251357111
26.04066385287235,12.181786800475296,26.093369566435726,12.016342233224012,26.98936669701314,11.804077978913865,26.146075279999103,11.718767106821028,26.04066385287235,11.5769574777485
26.6204267020695,12.17649707621624,26.673132415632878,12.00823882584844,27.569129546210284,11.791810320525846,26.725838129196255,11.706161806459026,26.6204267020695,11.562776514841248
27.200189551266647,12.170869709983204,27.252895264830023,11.999685229174224,28.14889239540743,11.78021794608579,27.3056009783934,11.693669053421685,27.200189551266647,11.548595551933996
27.77995240046379,12.16422941782822,27.83265811402717,11.989105780656116,28.72865524460458,11.76817538234709,27.885363827590545,11.679600637839092,27.77995240046379,11.532726379156832
28.359715249660937,12.157364031023915,28.412420963224314,11.980214542007918,29.308418093801727,11.756132818608393,28.46512667678769,11.666207506204465,28.359715249660937,11.518320321600257
28.93947809885809,12.15184921211554,28.992183812421466,11.969747640814468,29.888180942998872,11.744652991492996,29.044889525984843,11.651463806673908,28.93947809885809,11.50335152742038
29.519240948055234,12.146221845882502,29.57194666161861,11.959956023568985,30.467943792196017,11.733173164377602,29.624652375181988,11.637507938415977,29.519240948055234,11.48500631350068
30.09900379725238,12.140481932324805,30.151709510815756,11.949714217024859,31.04770664139317,11.719892580067635,30.204415224379133,11.623214428184063,30.09900379725238,11.466436004931658
30.678766646449525,12.134854566091768,30.7314723600129,11.940372789078017,31.627469490590315,11.708637847601562,30.784178073576278,11.609033465276811,30.678766646449525,11.447978243687297
31.258529495646677,12.12911465253407,31.311235209210054,11.929455698585926,32.20723233978746,11.69637018921354,31.36394092277343,11.593276839824307,31.258529495646677,11.428057367222348
31.838292344843822,12.123824928275017,31.8909980584072,11.920114270639084,32.786995188984605,11.682864510254253,31.943703771970576,11.579095876917055,31.838292344843822,11.410837626549254
