values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.800524;12.926614;12.886773;0.085910589;
12.800524;12.926614;12.886773;0.085910589;
12.800524;12.926614;12.886773;0.085910589;
12.800091;12.922424;12.884605;-0.18740706;
12.800091;12.922424;12.884605;-0.18740706;
12.800091;12.922424;12.884605;-0.18740706;
12.797042;12.924514;12.882091;0.12747294;
12.797042;12.924514;12.882091;0.12747294;
12.797042;12.924514;12.882091;0.12747294;
12.797947;12.922963;12.880589;-0.10661647;
12.797947;12.922963;12.880589;-0.10661647;
12.797947;12.922963;12.880589;-0.10661647;
12.797947;12.922963;12.880589;-0.10661647;
12.802637;12.919899;12.886651;-0.35049412;
12.802637;12.919899;12.886651;-0.35049412;
12.802637;12.919899;12.886651;-0.35049412;
12.804757;12.922052;12.880697;0.070073724;
12.804757;12.922052;12.880697;0.070073724;
12.804757;12.922052;12.880697;0.070073724;
12.804757;12.922052;12.880697;0.070073724;
12.801003;12.921338;12.882029;-0.24337569;
12.801003;12.921338;12.882029;-0.24337569;
12.801003;12.921338;12.882029;-0.24337569;
12.796424;12.921309;12.884129;-0.081367843;
12.796424;12.921309;12.884129;-0.081367843;
12.796424;12.921309;12.884129;-0.081367843;
12.800091;12.921895;12.880595;-0.21373489;
12.800091;12.921895;12.880595;-0.21373489;
12.800091;12.921895;12.880595;-0.21373489;
12.800091;12.921895;12.880595;-0.21373489;
12.799627;12.922805;12.881733;-0.075645491;
12.799627;12.922805;12.881733;-0.075645491;
12.799627;12.922805;12.881733;-0.075645491;
12.791847;12.923328;12.881358;-0.33518431;
12.791847;12.923328;12.881358;-0.33518431;
12.791847;12.923328;12.881358;-0.33518431;
12.791847;12.923328;12.881358;-0.33518431;
12.79741;12.924681;12.880685;-0.32331294;
12.79741;12.924681;12.880685;-0.32331294;
12.79741;12.924681;12.880685;-0.32331294;
12.795506;12.923119;12.883383;0.088495687;
12.795506;12.923119;12.883383;0.088495687;
12.795506;12.923119;12.883383;0.088495687;
12.800573;12.928999;12.88264;-0.00092862744;
12.800573;12.928999;12.88264;-0.00092862744;
12.800573;12.928999;12.88264;-0.00092862744;
12.800573;12.928999;12.88264;-0.00092862744;
12.797305;12.926647;12.881522;-0.37840313;
12.797305;12.926647;12.881522;-0.37840313;
12.797305;12.926647;12.881522;-0.37840313;
12.797293;12.925809;12.880378;-0.055039998;
12.797293;12.925809;12.880378;-0.055039998;
12.797293;12.925809;12.880378;-0.055039998;
