values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.728386;12.824906;12.784584;1.0873202;
12.728386;12.824906;12.784584;1.0873202;
12.720109;12.816318;12.776;1.4496398;
12.720109;12.816318;12.776;1.4496398;
12.720109;12.816318;12.776;1.4496398;
12.720109;12.816318;12.776;1.4496398;
12.716426;12.813718;12.769319;1.7676632;
12.716426;12.813718;12.769319;1.7676632;
12.716426;12.813718;12.769319;1.7676632;
12.721909;12.818863;12.770103;1.4188327;
12.721909;12.818863;12.770103;1.4188327;
12.721909;12.818863;12.770103;1.4188327;
12.710084;12.813596;12.772611;1.7397875;
12.710084;12.813596;12.772611;1.7397875;
12.710084;12.813596;12.772611;1.7397875;
12.714566;12.812186;12.769742;1.5906997;
12.714566;12.812186;12.769742;1.5906997;
12.714566;12.812186;12.769742;1.5906997;
12.714566;12.812186;12.769742;1.5906997;
12.713586;12.80629;12.770189;1.8618561;
12.713586;12.80629;12.770189;1.8618561;
12.713586;12.80629;12.770189;1.8618561;
12.710549;12.810865;12.76139;1.6086009;
12.710549;12.810865;12.76139;1.6086009;
12.710549;12.810865;12.76139;1.6086009;
12.708218;12.809546;12.767197;1.4613603;
12.708218;12.809546;12.767197;1.4613603;
12.708218;12.809546;12.767197;1.4613603;
12.708218;12.809546;12.767197;1.4613603;
12.713212;12.808152;12.767163;1.4232998;
12.713212;12.808152;12.767163;1.4232998;
12.713212;12.808152;12.767163;1.4232998;
12.706855;12.806359;12.766652;1.7924299;
12.706855;12.806359;12.766652;1.7924299;
12.706855;12.806359;12.766652;1.7924299;
12.710923;12.808463;12.765983;1.3640183;
12.710923;12.808463;12.765983;1.3640183;
12.710923;12.808463;12.765983;1.3640183;
12.710835;12.807034;12.766489;1.3383257;
12.710835;12.807034;12.766489;1.3383257;
12.710835;12.807034;12.766489;1.3383257;
12.710835;12.807034;12.766489;1.3383257;
12.705215;12.802815;12.762945;1.7733519;
12.705215;12.802815;12.762945;1.7733519;
12.705215;12.802815;12.762945;1.7733519;
12.703601;12.804739;12.75882;1.548171;
12.703601;12.804739;12.75882;1.548171;
12.703601;12.804739;12.75882;1.548171;
12.703601;12.804739;12.75882;1.548171;
12.707072;12.802266;12.759574;1.3344287;
12.707072;12.802266;12.759574;1.3344287;
12.707072;12.802266;12.759574;1.3344287;
12.705453;12.802423;12.760248;1.5963612;
12.705453;12.802423;12.760248;1.5963612;
12.705453;12.802423;12.760248;1.5963612;
12.707075;12.805155;12.758065;1.5589406;
12.707075;12.805155;12.758065;1.5589406;
12.707075;12.805155;12.758065;1.5589406;
12.707075;12.805155;12.758065;1.5589406;
12.702847;12.800491;12.761627;1.3197333;
12.702847;12.800491;12.761627;1.3197333;
12.702847;12.800491;12.761627;1.3197333;
12.702847;12.800491;12.761627;1.3197333;
12.696381;12.800267;12.758284;1.5290924;
12.696381;12.800267;12.758284;1.5290924;
12.696381;12.800267;12.758284;1.5290924;
12.696381;12.800267;12.758284;1.5290924;
12.704432;12.797788;12.759237;1.6600357;
12.704432;12.797788;12.759237;1.6600357;
12.704432;12.797788;12.759237;1.6600357;
12.706206;12.800809;12.763632;1.3350759;
12.706206;12.800809;12.763632;1.3350759;
12.706206;12.800809;12.763632;1.3350759;
12.706206;12.800809;12.763632;1.3350759;
12.696496;12.7981;12.755975;1.6937102;
12.696496;12.7981;12.755975;1.6937102;
12.696496;12.7981;12.755975;1.6937102;
12.698221;12.80018;12.758175;1.3383543;
12.698221;12.80018;12.758175;1.3383543;
12.698221;12.80018;12.758175;1.3383543;
12.698221;12.80018;12.758175;1.3383543;
12.704806;12.799198;12.756104;1.3201305;
12.704806;12.799198;12.756104;1.3201305;
12.704806;12.799198;12.756104;1.3201305;
12.704806;12.799198;12.756104;1.3201305;
12.701701;12.793162;12.754186;1.6467112;
12.701701;12.793162;12.754186;1.6467112;
12.701701;12.793162;12.754186;1.6467112;
12.705315;12.797709;12.754331;1.5137216;
12.705315;12.797709;12.754331;1.5137216;
12.705315;12.797709;12.754331;1.5137216;
12.705315;12.797709;12.754331;1.5137216;
12.705514;12.793425;12.753593;1.5521766;
12.705514;12.793425;12.753593;1.5521766;
12.705514;12.793425;12.753593;1.5521766;
12.699891;12.791013;12.745823;1.4111826;
12.699891;12.791013;12.745823;1.4111826;
12.699891;12.791013;12.745823;1.4111826;
12.699891;12.791013;12.745823;1.4111826;
12.700906;12.796118;12.754434;1.314392;
12.700906;12.796118;12.754434;1.314392;
12.700906;12.796118;12.754434;1.314392;
12.693501;12.788522;12.75178;1.5173427;
12.693501;12.788522;12.75178;1.5173427;
12.693501;12.788522;12.75178;1.5173427;
12.693501;12.788522;12.75178;1.5173427;
12.696953;12.793025;12.751606;1.3133805;
12.696953;12.793025;12.751606;1.3133805;
12.696953;12.793025;12.751606;1.3133805;
12.696953;12.793025;12.751606;1.3133805;
12.698053;12.791647;12.746851;1.3258151;
12.698053;12.791647;12.746851;1.3258151;
12.698053;12.791647;12.746851;1.3258151;
12.694547;12.791118;12.747798;1.4492189;
12.694547;12.791118;12.747798;1.4492189;
12.694547;12.791118;12.747798;1.4492189;
12.694547;12.791118;12.747798;1.4492189;
12.696733;12.79421;12.743141;1.3262534;
12.696733;12.79421;12.743141;1.3262534;
12.696733;12.79421;12.743141;1.3262534;
12.695262;12.785627;12.745207;1.5846752;
12.695262;12.785627;12.745207;1.5846752;
12.695262;12.785627;12.745207;1.5846752;
12.695262;12.785627;12.745207;1.5846752;
12.694113;12.785231;12.747744;1.6343547;
12.694113;12.785231;12.747744;1.6343547;
12.694113;12.785231;12.747744;1.6343547;
12.694113;12.785231;12.747744;1.6343547;
12.697447;12.78382;12.743202;1.6650037;
12.697447;12.78382;12.743202;1.6650037;
12.697447;12.78382;12.743202;1.6650037;
12.694293;12.787247;12.745029;1.326961;
12.694293;12.787247;12.745029;1.326961;
12.694293;12.787247;12.745029;1.326961;
12.694293;12.787247;12.745029;1.326961;
12.696303;12.786115;12.745067;1.5460436;
12.696303;12.786115;12.745067;1.5460436;
12.696303;12.786115;12.745067;1.5460436;
12.696303;12.786115;12.745067;1.5460436;
12.69614;12.784792;12.74667;1.3890405;
12.69614;12.784792;12.74667;1.3890405;
12.69614;12.784792;12.74667;1.3890405;
12.69578;12.788754;12.746859;1.3229522;
12.69578;12.788754;12.746859;1.3229522;
12.69578;12.788754;12.746859;1.3229522;
12.69578;12.788754;12.746859;1.3229522;
12.692653;12.785436;12.751212;1.3171092;
12.692653;12.785436;12.751212;1.3171092;
12.692653;12.785436;12.751212;1.3171092;
12.690325;12.781335;12.741438;1.4167739;
12.690325;12.781335;12.741438;1.4167739;
12.690325;12.781335;12.741438;1.4167739;
12.695174;12.78219;12.741775;1.4163243;
12.695174;12.78219;12.741775;1.4163243;
12.695174;12.78219;12.741775;1.4163243;
12.695174;12.78219;12.741775;1.4163243;
12.698575;12.782497;12.748679;1.3139189;
12.698575;12.782497;12.748679;1.3139189;
12.698575;12.782497;12.748679;1.3139189;
12.698575;12.782497;12.748679;1.3139189;
12.691518;12.782825;12.735303;1.3176166;
12.691518;12.782825;12.735303;1.3176166;
12.691518;12.782825;12.735303;1.3176166;
12.695241;12.78315;12.741545;1.4881428;
12.695241;12.78315;12.741545;1.4881428;
12.695241;12.78315;12.741545;1.4881428;
12.695241;12.78315;12.741545;1.4881428;
12.690682;12.778592;12.740015;1.407838;
12.690682;12.778592;12.740015;1.407838;
12.690682;12.778592;12.740015;1.407838;
12.69561;12.778008;12.739787;1.5642906;
12.69561;12.778008;12.739787;1.5642906;
12.69561;12.778008;12.739787;1.5642906;
12.69561;12.778008;12.739787;1.5642906;
12.689313;12.77443;12.734709;1.9275129;
12.689313;12.77443;12.734709;1.9275129;
12.689313;12.77443;12.734709;1.9275129;
12.689313;12.77443;12.734709;1.9275129;
12.688787;12.776333;12.738555;1.3308817;
