desired_final_SOC,achieved_final_SOC,esc_d,error,race_duration,irradiation
0.9500000000000001,0.943941283677797,0.40416666666666645,-0.006058716322203117,0 days 03:00:00,660.0
0.9500000000000001,0.9444661481215675,0.41666666666666663,-0.005533851878432583,0 days 03:00:00,720.0
0.9500000000000001,0.9483580494920939,0.4277777777777777,-0.0016419505079061647,0 days 03:00:00,780.0
0.9500000000000001,0.9498167523192519,0.4388888888888889,-0.00018324768074817754,0 days 03:00:00,840.0
0.9500000000000001,0.9491335923097957,0.44999999999999996,-0.0008664076902044071,0 days 03:00:00,900.0
0.9500000000000001,0.9465311516700736,0.46111111111111114,-0.003468848329926444,0 days 03:00:00,960.0
0.9500000000000001,0.9421774516411625,0.4722222222222222,-0.007822548358837556,0 days 03:00:00,1020.0
0.9500000000000001,0.9484254064331805,0.4805555555555556,-0.0015745935668195488,0 days 03:00:00,1080.0
0.9500000000000001,0.9531002305326626,0.48888888888888893,0.003100230532662507,0 days 03:00:00,1140.0
0.9500000000000001,0.9446233443802374,0.5,-0.005376655619762638,0 days 03:00:00,1200.0
0.9500000000000001,0.9502267550781056,0.18333333333333326,0.00022675507810554496,0 days 03:30:00,60.0
0.9500000000000001,0.959003400415507,0.2222222222222222,0.009003400415506957,0 days 03:30:00,120.0
0.9500000000000001,0.953792464725562,0.25555555555555554,0.0037924647255619393,0 days 03:30:00,180.0
0.9500000000000001,0.9468588982112518,0.2833333333333333,-0.0031411017887482684,0 days 03:30:00,240.0
0.9500000000000001,0.953068006088209,0.3041666666666667,0.0030680060882088966,0 days 03:30:00,300.0
0.9500000000000001,0.9488875836002608,0.32499999999999996,-0.0011124163997392467,0 days 03:30:00,360.0
0.9500000000000001,0.9545564486515488,0.3416666666666667,0.004556448651548695,0 days 03:30:00,420.0
0.9500000000000001,0.9536955575298578,0.3583333333333333,0.0036955575298577292,0 days 03:30:00,480.0
0.9500000000000001,0.9472395999016332,0.37499999999999994,-0.0027604000983668664,0 days 03:30:00,540.0
0.9500000000000001,0.9553056070431974,0.38749999999999984,0.00530560704319738,0 days 03:30:00,600.0
0.9500000000000001,0.9594370356073953,0.3999999999999998,0.009437035607395283,0 days 03:30:00,660.0
0.9500000000000001,0.9409449324398047,0.41666666666666663,-0.009055067560195362,0 days 03:30:00,720.0
0.9500000000000001,0.94537682487872,0.4277777777777777,-0.0046231751212800765,0 days 03:30:00,780.0
0.9500000000000001,0.9471547706441948,0.4388888888888889,-0.0028452293558052233,0 days 03:30:00,840.0
0.9500000000000001,0.9466265580736284,0.44999999999999996,-0.0033734419263716786,0 days 03:30:00,900.0
0.9500000000000001,0.9440524074206219,0.46111111111111114,-0.005947592579378158,0 days 03:30:00,960.0
0.9500000000000001,0.952363205053142,0.46944444444444444,0.0023632050531419146,0 days 03:30:00,1020.0
