Time,Vdc,Adc
1678483543.7365055, 4.7528e1, 1.4981e1
1678483544.2053776, 4.7527e1, 1.4981e1
1678483544.837877, 4.7526e1, 1.4981e1
1678483545.253452, 4.7525e1, 1.4981e1
1678483545.7364612, 4.7524e1, 1.4981e1
1678483546.2057188, 4.7524e1, 1.4981e1
1678483546.838745, 4.7523e1, 1.4981e1
1678483547.2534914, 4.7523e1, 1.4981e1
1678483547.7366598, 4.7522e1, 1.4981e1
1678483548.2059014, 4.7521e1, 1.4981e1
1678483548.838765, 4.7520e1, 1.4981e1
1678483549.2535217, 4.7519e1, 1.4981e1
1678483549.737695, 4.7519e1, 1.4981e1
1678483550.2061474, 4.7518e1, 1.4981e1
1678483550.8388267, 4.7517e1, 1.4981e1
1678483551.253634, 4.7516e1, 1.4981e1
1678483551.7376096, 4.7515e1, 1.4981e1
1678483552.2063313, 4.7514e1, 1.4981e1
1678483552.8393083, 4.7514e1, 1.4981e1
1678483553.2546363, 4.7513e1, 1.4981e1
1678483553.7378488, 4.7512e1, 1.4981e1
1678483554.206679, 4.7512e1, 1.4981e1
1678483554.8391354, 4.7511e1, 1.4981e1
1678483555.254853, 4.7510e1, 1.4981e1
1678483555.7377143, 4.7509e1, 1.4981e1
1678483556.2069302, 4.7507e1, 1.4981e1
1678483556.8400414, 4.7506e1, 1.4981e1
1678483557.254723, 4.7505e1, 1.4981e1
1678483557.7377336, 4.7504e1, 1.4981e1
1678483558.2071693, 4.7503e1, 1.4981e1
1678483558.8402457, 4.7502e1, 1.4981e1
1678483559.2547843, 4.7501e1, 1.4981e1
1678483559.738806, 4.7501e1, 1.4981e1
1678483560.207505, 4.7500e1, 1.4981e1
1678483560.8401852, 4.7500e1, 1.4981e1
1678483561.2548785, 4.7499e1, 1.4981e1
1678483561.7388709, 4.7499e1, 1.4981e1
1678483562.2077026, 4.7498e1, 1.4981e1
1678483562.8401985, 4.7497e1, 1.4981e1
1678483563.255797, 4.7496e1, 1.4981e1
1678483563.7388167, 4.7495e1, 1.4981e1
1678483564.2079473, 4.7494e1, 1.4981e1
1678483564.840303, 4.7493e1, 1.4981e1
1678483565.2558374, 4.7492e1, 1.4981e1
1678483565.7389557, 4.7492e1, 1.4981e1
1678483566.2082205, 4.7491e1, 1.4981e1
1678483566.8409705, 4.7491e1, 1.4981e1
1678483567.2558784, 4.7491e1, 1.4981e1
1678483567.7390997, 4.7489e1, 1.4981e1
1678483568.208462, 4.7488e1, 1.4981e1
1678483568.8414211, 4.7487e1, 1.4981e1
1678483569.2559264, 4.7486e1, 1.4981e1
