V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
1.692,0.221,0.685,23.11,0.039,3.792,0.723,3.069,-0.044,0.153
1.702,0.222,0.689,23.39,0.040,3.792,0.726,3.066,-0.045,0.142
1.712,0.223,0.693,23.67,0.041,3.793,0.729,3.064,-0.048,0.070
1.722,0.225,0.697,23.94,0.041,3.791,0.731,3.060,-0.049,0.069
1.732,0.226,0.701,24.18,0.042,3.786,0.729,3.056,-0.052,0.004
1.742,0.227,0.705,24.45,0.043,3.783,0.730,3.053,-0.054,-0.004
1.752,0.228,0.709,24.71,0.043,3.781,0.730,3.051,-0.058,-0.061
1.762,0.230,0.714,24.97,0.044,3.777,0.729,3.047,-0.061,-0.065
1.772,0.231,0.718,25.21,0.045,3.771,0.727,3.044,-0.063,-0.067
1.782,0.232,0.722,25.47,0.045,3.766,0.726,3.040,-0.068,-0.114
1.792,0.234,0.726,25.72,0.046,3.761,0.724,3.037,-0.069,-0.119
1.802,0.235,0.730,25.98,0.047,3.758,0.723,3.034,-0.074,-0.165
1.812,0.236,0.734,26.21,0.047,3.749,0.719,3.030,-0.077,-0.167
1.822,0.238,0.738,26.49,0.048,3.747,0.718,3.030,-0.081,-0.246
1.832,0.239,0.742,26.75,0.049,3.744,0.717,3.026,-0.084,-0.242
1.842,0.240,0.746,27.00,0.050,3.737,0.712,3.025,-0.089,-0.309
1.852,0.242,0.750,27.24,0.050,3.730,0.710,3.020,-0.093,-0.300
1.862,0.243,0.754,27.51,0.051,3.726,0.709,3.018,-0.098,-0.332
1.872,0.244,0.758,27.78,0.052,3.722,0.708,3.015,-0.101,-0.366
1.882,0.245,0.762,28.04,0.053,3.718,0.706,3.012,-0.105,-0.370
1.892,0.247,0.766,28.29,0.054,3.712,0.704,3.007,-0.110,-0.374
1.902,0.248,0.770,28.56,0.054,3.707,0.703,3.004,-0.112,-0.374
1.912,0.249,0.774,28.87,0.055,3.708,0.704,3.004,-0.118,-0.438
1.922,0.251,0.778,29.13,0.056,3.703,0.703,3.000,-0.121,-0.458
1.932,0.252,0.782,29.64,0.057,3.728,0.709,3.020,-0.122,-0.528
1.942,0.253,0.786,29.92,0.058,3.726,0.709,3.017,-0.126,-0.558
1.952,0.255,0.791,30.19,0.059,3.721,0.707,3.014,-0.130,-0.647
1.962,0.256,0.795,30.47,0.060,3.717,0.706,3.011,-0.134,-0.679
1.972,0.257,0.799,30.76,0.061,3.714,0.706,3.008,-0.136,-0.717
1.982,0.259,0.803,31.07,0.062,3.713,0.708,3.006,-0.139,-0.776
1.992,0.260,0.807,31.34,0.062,3.709,0.706,3.003,-0.142,-0.819
2.002,0.261,0.811,31.59,0.063,3.701,0.698,3.003,-0.146,-0.907
2.012,0.262,0.815,31.91,0.064,3.701,0.699,3.002,-0.148,-0.950
2.022,0.264,0.819,32.22,0.065,3.700,0.700,3.000,-0.152,-1.040
2.032,0.265,0.823,32.52,0.066,3.698,0.700,2.999,-0.154,-1.091
2.042,0.266,0.827,32.81,0.067,3.695,0.699,2.996,-0.157,-1.180
2.052,0.268,0.831,33.12,0.068,3.693,0.699,2.994,-0.159,-1.227
2.062,0.269,0.835,33.41,0.069,3.689,0.698,2.991,-0.158,-1.257
2.072,0.270,0.839,33.73,0.070,3.689,0.698,2.991,-0.161,-1.302
2.082,0.272,0.843,34.04,0.071,3.687,0.707,2.980,-0.134,-0.724
2.092,0.273,0.847,34.35,0.072,3.685,0.706,2.978,-0.136,-0.784
2.102,0.274,0.851,34.65,0.073,3.682,0.706,2.976,-0.139,-0.830
2.112,0.276,0.855,34.97,0.074,3.680,0.706,2.974,-0.142,-0.888
2.122,0.277,0.859,35.18,0.075,3.668,0.694,2.974,-0.143,-0.940
2.132,0.278,0.864,35.50,0.076,3.667,0.693,2.973,-0.147,-1.006
2.142,0.279,0.868,35.80,0.077,3.663,0.693,2.971,-0.150,-1.039
2.152,0.281,0.872,36.12,0.078,3.661,0.692,2.969,-0.154,-1.112
2.162,0.282,0.876,36.43,0.079,3.658,0.692,2.966,-0.157,-1.146
2.172,0.283,0.880,36.74,0.080,3.656,0.692,2.964,-0.161,-1.217
2.182,0.285,0.884,37.08,0.081,3.656,0.693,2.963,-0.164,-1.247
2.192,0.286,0.888,37.40,0.082,3.654,0.694,2.961,-0.167,-1.209
2.202,0.287,0.892,37.73,0.083,3.652,0.694,2.959,-0.170,-1.245
2.212,0.289,0.896,38.06,0.084,3.652,0.695,2.957,-0.174,-1.288
2.222,0.290,0.900,38.36,0.085,3.648,0.695,2.952,-0.179,-1.336
2.232,0.291,0.904,38.78,0.087,3.654,0.700,2.954,-0.183,-1.347
2.242,0.292,0.908,39.14,0.088,3.655,0.702,2.952,-0.187,-1.392
2.252,0.294,0.912,39.53,0.089,3.659,0.708,2.951,-0.192,-1.427
2.262,0.295,0.916,39.86,0.090,3.657,0.710,2.947,-0.196,-1.493
2.272,0.296,0.920,40.26,0.091,3.661,0.716,2.945,-0.200,-1.577
2.282,0.298,0.924,40.66,0.093,3.665,0.721,2.944,-0.204,-1.662
2.292,0.299,0.928,41.08,0.094,3.670,0.725,2.945,-0.208,-1.677
2.302,0.300,0.932,41.48,0.095,3.674,0.731,2.943,-0.212,-1.761
2.312,0.302,0.936,41.88,0.097,3.677,0.737,2.941,-0.216,-1.801
2.322,0.303,0.941,42.28,0.098,3.681,0.742,2.939,-0.221,-1.870
2.332,0.304,0.945,42.69,0.100,3.684,0.747,2.937,-0.226,-1.967
2.342,0.306,0.949,43.15,0.101,3.692,0.755,2.938,-0.232,-2.042
2.352,0.307,0.953,43.61,0.103,3.700,0.765,2.935,-0.232,-2.039
2.362,0.308,0.957,44.08,0.104,3.708,0.775,2.933,-0.237,-2.110
2.372,0.309,0.961,44.53,0.106,3.715,0.784,2.931,-0.242,-2.183
2.382,0.311,0.965,44.92,0.107,3.716,0.787,2.929,-0.246,-2.277
2.392,0.312,0.969,45.70,0.109,3.749,0.810,2.939,-0.249,-2.367
