V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
1.081,0.141,0.438,10.40,0.011,4.176,0.856,3.320,0.000,0.000
1.091,0.142,0.442,10.56,0.012,4.165,0.850,3.315,0.000,0.000
1.101,0.144,0.446,10.73,0.012,4.154,0.845,3.309,0.000,0.000
1.111,0.145,0.450,10.89,0.012,4.143,0.839,3.304,0.000,0.000
1.121,0.146,0.454,11.06,0.012,4.133,0.834,3.298,0.000,0.000
1.131,0.148,0.458,11.23,0.013,4.122,0.829,3.293,0.000,0.000
1.141,0.149,0.462,11.40,0.013,4.112,0.824,3.288,0.000,0.000
1.151,0.150,0.466,11.58,0.013,4.102,0.819,3.282,0.000,0.000
1.161,0.151,0.470,11.75,0.014,4.092,0.815,3.277,0.000,0.000
1.171,0.153,0.474,11.93,0.014,4.082,0.810,3.272,0.000,0.000
1.181,0.154,0.478,12.10,0.014,4.073,0.805,3.267,0.000,0.000
1.191,0.155,0.483,12.28,0.015,4.063,0.801,3.262,0.000,0.000
1.201,0.157,0.487,12.46,0.015,4.054,0.797,3.257,0.000,0.000
1.211,0.158,0.491,12.64,0.015,4.045,0.793,3.252,0.000,0.000
1.221,0.159,0.495,12.82,0.016,4.036,0.788,3.247,0.000,0.000
1.231,0.161,0.499,13.00,0.016,4.027,0.784,3.243,0.000,0.000
1.241,0.162,0.503,13.19,0.016,4.018,0.780,3.238,0.000,0.000
1.251,0.163,0.507,13.37,0.017,4.010,0.777,3.233,0.000,0.000
1.261,0.165,0.511,13.56,0.017,4.001,0.773,3.229,0.000,0.000
1.271,0.166,0.515,13.74,0.017,3.993,0.769,3.224,0.000,0.000
1.281,0.167,0.519,13.93,0.018,3.985,0.766,3.219,0.000,0.000
1.291,0.168,0.523,14.12,0.018,3.977,0.762,3.215,0.000,0.000
1.301,0.170,0.527,14.31,0.019,3.969,0.759,3.210,0.000,0.000
1.311,0.171,0.531,14.51,0.019,3.961,0.755,3.206,0.000,0.000
1.321,0.172,0.535,14.70,0.019,3.954,0.752,3.202,0.000,0.000
1.331,0.174,0.539,14.90,0.020,3.946,0.749,3.197,0.000,0.000
1.341,0.175,0.543,15.09,0.020,3.939,0.746,3.193,0.000,0.000
1.351,0.176,0.547,15.29,0.021,3.932,0.743,3.189,0.000,0.000
1.361,0.178,0.551,15.49,0.021,3.925,0.740,3.185,0.000,0.000
1.371,0.179,0.556,15.69,0.022,3.918,0.738,3.180,0.000,0.000
1.381,0.180,0.560,15.90,0.022,3.911,0.735,3.176,0.000,0.000
1.391,0.182,0.564,16.10,0.022,3.905,0.732,3.172,0.000,0.000
1.401,0.183,0.568,16.31,0.023,3.898,0.730,3.168,0.000,0.000
1.411,0.184,0.572,16.52,0.023,3.893,0.729,3.164,0.000,0.000
1.421,0.185,0.576,16.73,0.024,3.889,0.729,3.160,0.000,0.000
1.431,0.187,0.580,16.95,0.024,3.884,0.728,3.156,0.000,0.000
1.441,0.188,0.584,17.17,0.025,3.880,0.728,3.152,0.000,0.000
1.451,0.189,0.588,17.39,0.025,3.875,0.727,3.148,0.000,0.000
1.461,0.191,0.592,17.61,0.026,3.870,0.726,3.144,0.000,0.000
1.471,0.192,0.596,17.82,0.026,3.865,0.724,3.141,0.000,0.000
1.481,0.193,0.600,18.04,0.027,3.859,0.723,3.137,0.000,0.000
1.491,0.195,0.604,18.26,0.027,3.853,0.720,3.133,0.000,0.000
1.502,0.196,0.608,18.47,0.028,3.847,0.717,3.129,0.000,0.000
1.512,0.197,0.612,18.68,0.028,3.840,0.714,3.126,0.000,0.000
1.522,0.199,0.616,18.90,0.029,3.833,0.711,3.122,0.000,0.000
1.532,0.200,0.620,19.11,0.029,3.826,0.708,3.118,0.000,0.000
1.542,0.201,0.624,19.33,0.030,3.819,0.705,3.115,0.000,0.000
1.552,0.202,0.628,19.55,0.030,3.813,0.702,3.111,0.000,0.000
1.562,0.204,0.633,19.78,0.031,3.808,0.700,3.108,0.000,0.000
1.572,0.205,0.637,20.00,0.031,3.803,0.699,3.104,0.000,0.000
1.582,0.206,0.641,20.24,0.032,3.799,0.698,3.101,0.000,0.000
1.592,0.208,0.645,20.48,0.033,3.796,0.699,3.097,0.000,0.000
1.602,0.209,0.649,20.72,0.033,3.793,0.700,3.094,0.000,0.000
