V [V],I [A] (1000 W/m²),I [A] (800 W/m²),I [A] (600 W/m²),I [A] (400 W/m²)
11.5,8.551,6.831,5.222,3.421
11.6,8.551,6.831,5.222,3.42
11.7,8.551,6.83,5.222,3.42
11.8,8.551,6.83,5.222,3.42
11.9,8.551,6.83,5.222,3.42
12,8.551,6.83,5.221,3.42
12.1,8.55,6.83,5.221,3.42
12.2,8.55,6.83,5.221,3.419
12.3,8.55,6.83,5.221,3.419
12.4,8.549,6.829,5.221,3.419
12.5,8.549,6.829,5.221,3.419
12.6,8.549,6.829,5.22,3.419
12.7,8.549,6.829,5.22,3.419
12.8,8.548,6.829,5.22,3.419
12.9,8.548,6.829,5.22,3.418
13,8.548,6.828,5.22,3.418
13.1,8.548,6.828,5.22,3.418
13.2,8.547,6.828,5.219,3.418
13.3,8.547,6.828,5.219,3.418
13.4,8.547,6.828,5.219,3.418
13.5,8.547,6.828,5.219,3.417
13.6,8.546,6.828,5.219,3.417
13.7,8.546,6.827,5.219,3.417
13.8,8.546,6.827,5.218,3.417
13.9,8.546,6.827,5.218,3.417
14,8.545,6.827,5.218,3.417
14.1,8.545,6.827,5.218,3.416
14.2,8.545,6.827,5.218,3.416
14.3,8.545,6.826,5.217,3.416
14.4,8.544,6.826,5.217,3.416
14.5,8.544,6.826,5.217,3.416
14.6,8.544,6.826,5.217,3.416
14.7,8.544,6.826,5.217,3.415
14.8,8.543,6.826,5.217,3.415
14.9,8.543,6.826,5.216,3.415
15,8.543,6.825,5.216,3.415
15.1,8.543,6.825,5.216,3.415
15.2,8.542,6.825,5.216,3.415
15.3,8.542,6.825,5.216,3.414
15.4,8.542,6.825,5.216,3.414
15.5,8.541,6.825,5.215,3.414
15.6,8.541,6.824,5.215,3.414
15.7,8.541,6.824,5.215,3.414
15.8,8.541,6.824,5.215,3.414
15.9,8.54,6.824,5.215,3.413
16,8.54,6.824,5.215,3.413
16.1,8.54,6.824,5.214,3.413
16.2,8.54,6.824,5.214,3.413
16.3,8.539,6.823,5.214,3.413
16.4,8.539,6.823,5.214,3.413
16.5,8.539,6.823,5.214,3.412
16.6,8.539,6.823,5.213,3.412
16.7,8.538,6.823,5.213,3.412
16.8,8.538,6.823,5.213,3.412
16.9,8.538,6.822,5.213,3.412
17,8.538,6.822,5.213,3.412
17.1,8.537,6.822,5.213,3.411
17.2,8.537,6.822,5.212,3.411
17.3,8.537,6.822,5.212,3.411
17.4,8.537,6.822,5.212,3.411
17.5,8.536,6.822,5.212,3.411
17.6,8.536,6.821,5.212,3.411
17.7,8.536,6.821,5.212,3.41
17.8,8.536,6.821,5.211,3.41
17.9,8.535,6.821,5.211,3.41
18,8.535,6.821,5.211,3.41
18.1,8.535,6.821,5.211,3.41
18.2,8.535,6.82,5.211,3.41
18.3,8.534,6.82,5.21,3.409
18.4,8.534,6.82,5.21,3.409
18.5,8.534,6.82,5.21,3.409
18.6,8.534,6.82,5.21,3.409
18.7,8.533,6.82,5.21,3.409
18.8,8.533,6.82,5.21,3.409
18.9,8.533,6.819,5.209,3.408
19,8.532,6.819,5.209,3.408
19.1,8.532,6.819,5.209,3.408
19.2,8.532,6.819,5.209,3.408
19.3,8.532,6.819,5.209,3.408
19.4,8.531,6.819,5.209,3.408
19.5,8.531,6.818,5.208,3.407
19.6,8.531,6.818,5.208,3.407
19.7,8.53,6.818,5.208,3.407
19.8,8.53,6.818,5.208,3.407
19.9,8.53,6.818,5.208,3.407
20,8.529,6.818,5.207,3.407
20.1,8.529,6.818,5.207,3.407
20.2,8.529,6.817,5.207,3.406
20.3,8.528,6.817,5.207,3.406
20.4,8.528,6.817,5.207,3.406
20.5,8.528,6.817,5.207,3.406
20.6,8.527,6.817,5.206,3.406
20.7,8.527,6.817,5.206,3.406
20.8,8.526,6.816,5.206,3.405
20.9,8.526,6.816,5.206,3.405
21,8.526,6.816,5.206,3.405
21.1,8.525,6.816,5.206,3.405
21.2,8.525,6.816,5.205,3.405
21.3,8.525,6.816,5.205,3.405
21.4,8.524,6.816,5.205,3.405
21.5,8.524,6.815,5.205,3.405
21.6,8.524,6.815,5.205,3.405
21.7,8.523,6.815,5.205,3.405
21.8,8.523,6.815,5.204,3.405
21.9,8.523,6.815,5.204,3.405
22,8.522,6.815,5.204,3.405
22.1,8.522,6.814,5.204,3.405
22.2,8.522,6.814,5.204,3.405
22.3,8.521,6.814,5.203,3.405
22.4,8.521,6.814,5.203,3.405
22.5,8.521,6.814,5.203,3.405
22.6,8.52,6.814,5.203,3.405
22.7,8.52,6.814,5.203,3.405
22.8,8.52,6.813,5.203,3.405
22.9,8.519,6.813,5.202,3.405
23,8.519,6.813,5.202,3.405
23.1,8.519,6.813,5.202,3.405
23.2,8.518,6.813,5.202,3.405
23.3,8.518,6.813,5.202,3.405
23.4,8.518,6.812,5.201,3.405
23.5,8.517,6.812,5.199,3.405
23.6,8.517,6.812,5.198,3.405
23.7,8.517,6.812,5.197,3.405
23.8,8.516,6.812,5.195,3.405
23.9,8.516,6.812,5.194,3.405
24,8.516,6.812,5.193,3.405
24.1,8.515,6.811,5.192,3.405
24.2,8.515,6.811,5.19,3.405
24.3,8.515,6.811,5.189,3.405
24.4,8.514,6.811,5.188,3.405
24.5,8.514,6.811,5.186,3.401
24.6,8.514,6.808,5.185,3.396
24.7,8.514,6.806,5.184,3.39
24.8,8.514,6.803,5.183,3.384
24.9,8.514,6.8,5.183,3.379
25,8.514,6.798,5.183,3.373
25.1,8.514,6.795,5.183,3.367
25.2,8.514,6.793,5.183,3.361
25.3,8.514,6.79,5.183,3.356
25.4,8.514,6.787,5.183,3.35
25.5,8.514,6.785,5.176,3.344
25.6,8.514,6.782,5.168,3.339
25.7,8.514,6.78,5.161,3.333
25.8,8.514,6.777,5.153,3.326
25.9,8.514,6.774,5.145,3.318
26,8.508,6.768,5.137,3.311
26.1,8.503,6.76,5.129,3.303
26.2,8.497,6.752,5.119,3.296
26.3,8.492,6.744,5.107,3.288
26.4,8.487,6.736,5.095,3.281
26.5,8.481,6.729,5.083,3.273
26.6,8.476,6.721,5.071,3.266
26.7,8.471,6.713,5.059,3.258
26.8,8.465,6.705,5.047,3.251
26.9,8.46,6.697,5.035,3.243
27,8.453,6.689,5.023,3.235
27.1,8.444,6.681,5.011,3.222
27.2,8.435,6.668,4.999,3.21
27.3,8.426,6.655,4.986,3.197
27.4,8.418,6.642,4.974,3.185
27.5,8.409,6.629,4.962,3.172
27.6,8.4,6.616,4.95,3.16
27.7,8.391,6.602,4.937,3.147
27.8,8.382,6.589,4.925,3.135
27.9,8.369,6.576,4.911,3.122
28,8.356,6.562,4.897,3.11
28.1,8.343,6.548,4.883,3.093
28.2,8.33,6.534,4.868,3.076
28.3,8.317,6.519,4.854,3.058
28.4,8.304,6.505,4.838,3.041
28.5,8.291,6.49,4.819,3.023
28.6,8.276,6.471,4.8,3.005
28.7,8.26,6.452,4.781,2.988
28.8,8.244,6.433,4.757,2.97
28.9,8.227,6.413,4.728,2.952
29,8.211,6.392,4.699,2.933
29.1,8.195,6.37,4.671,2.914
29.2,8.179,6.349,4.642,2.895
29.3,8.163,6.328,4.618,2.876
29.4,8.147,6.306,4.594,2.857
29.5,8.131,6.281,4.57,2.836
29.6,8.112,6.256,4.546,2.81
29.7,8.089,6.231,4.513,2.784
29.8,8.067,6.206,4.48,2.759
29.9,8.044,6.181,4.446,2.733
30,8.021,6.149,4.413,2.707
30.1,7.998,6.115,4.378,2.681
30.2,7.975,6.08,4.344,2.657
30.3,7.947,6.043,4.31,2.632
30.4,7.919,6.002,4.268,2.607
30.5,7.89,5.961,4.225,2.583
30.6,7.862,5.92,4.183,2.557
30.7,7.833,5.88,4.14,2.526
30.8,7.804,5.828,4.084,2.494
30.9,7.772,5.775,4.027,2.463
31,7.739,5.721,3.965,2.431
31.1,7.707,5.668,3.894,2.4
31.2,7.674,5.612,3.822,2.368
31.3,7.637,5.55,3.76,2.331
31.4,7.591,5.488,3.703,2.29
31.5,7.545,5.426,3.645,2.249
31.6,7.499,5.344,3.564,2.208
31.7,7.453,5.229,3.483,2.167
31.8,7.408,5.115,3.402,2.124
31.9,7.362,5.001,3.323,2.081
32,7.307,4.894,3.261,2.033
32.1,7.25,4.796,3.199,1.98
32.2,7.192,4.698,3.137,1.927
32.3,7.12,4.6,3.074,1.874
32.4,7.034,4.501,3.005,1.821
32.5,6.948,4.407,2.936,1.773
32.6,6.862,4.312,2.867,1.725
32.7,6.776,4.218,2.798,1.677
32.8,6.628,4.123,2.729,1.63
32.9,6.478,4.029,2.66,1.583
33,6.325,3.935,2.591,1.537
33.1,6.164,3.838,2.522,1.49
33.2,6.004,3.738,2.453,1.444
33.3,5.844,3.638,2.384,1.397
33.4,5.687,3.538,2.315,1.354
33.5,5.53,3.438,2.244,1.313
33.6,5.375,3.338,2.173,1.272
33.7,5.224,3.241,2.102,1.23
33.8,5.073,3.144,2.031,1.189
33.9,4.921,3.048,1.96,1.148
34,4.77,2.951,1.889,1.101
34.1,4.62,2.854,1.818,1.052
34.2,4.47,2.757,1.747,1.004
34.3,4.318,2.66,1.676,0.956
34.4,4.163,2.563,1.605,0.908
34.5,4.008,2.46,1.534,0.86
34.6,3.852,2.352,1.463,0.812
34.7,3.697,2.244,1.392,0.763
34.8,3.542,2.135,1.321,0.715
34.9,3.388,2.027,1.25,0.667
35,3.233,1.919,1.179,0.619
35.1,3.08,1.818,1.108,0.571
35.2,2.929,1.719,1.037,0.522
35.3,2.778,1.621,0.966,0.473
35.4,2.627,1.522,0.895,0.425
35.5,2.475,1.424,0.824,0.376
35.6,2.347,1.325,0.753,0.327
35.7,2.223,1.226,0.682,0.278
35.8,2.099,1.128,0.611,0.229
35.9,1.975,1.029,0.541,0.181
36,1.811,0.93,0.47,0.132
36.1,1.644,0.832,0.399,0.083
36.2,1.476,0.733,0.328,0.034
36.3,1.309,0.634,0.257,-0.015
36.4,1.147,0.536,0.186,
36.5,0.997,0.437,0.115,
36.6,0.846,0.338,0.044,
36.7,0.696,0.24,,
36.8,0.546,0.141,,
36.9,0.396,0.043,,
37,0.246,,,
37.1,0.096,,,
