V [V],I [A] (1000 W/m²),I [A] (800 W/m²),I [A] (600 W/m²),I [A] (400 W/m²)
30.1,8.525,6.368,4.404,2.664
30.2,8.507,6.336,4.373,2.641
30.3,8.489,6.303,4.343,2.618
30.4,8.471,6.268,4.312,2.594
30.5,8.453,6.229,4.282,2.568
30.6,8.433,6.19,4.244,2.537
30.7,8.41,6.152,4.198,2.506
30.8,8.386,6.113,4.152,2.475
30.9,8.363,6.074,4.105,2.444
31,8.34,6.035,4.058,2.413
31.1,8.316,5.992,4.011,2.376
31.2,8.29,5.945,3.963,2.333
31.3,8.264,5.897,3.905,2.29
31.4,8.237,5.849,3.839,2.248
31.5,8.211,5.8,3.772,2.205
31.6,8.184,5.739,3.705,2.162
31.7,8.158,5.678,3.639,2.119
31.8,8.13,5.617,3.572,2.075
31.9,8.102,5.547,3.506,2.03
32,8.073,5.472,3.44,1.985
32.1,8.045,5.397,3.374,1.94
32.2,8.014,5.322,3.308,1.896
32.3,7.976,5.229,3.242,1.851
32.4,7.938,5.13,3.176,1.806
32.5,7.9,5.03,3.11,1.761
32.6,7.862,4.931,3.044,1.716
32.7,7.824,4.831,2.978,1.671
32.8,7.786,4.732,2.912,1.626
32.9,7.748,4.633,2.846,1.579
33,7.698,4.533,2.78,1.532
33.1,7.646,4.434,2.714,1.485
33.2,7.594,4.335,2.648,1.438
33.3,7.542,4.235,2.582,1.391
33.4,7.49,4.136,2.516,1.344
33.5,7.427,4.036,2.45,1.297
33.6,7.349,3.936,2.384,1.249
33.7,7.271,3.835,2.318,1.203
33.8,7.193,3.733,2.252,1.156
33.9,7.115,3.632,2.186,1.109
34,7.033,3.531,2.12,1.063
34.1,6.866,3.429,2.054,1.016
34.2,6.699,3.328,1.988,0.969
34.3,6.532,3.227,1.922,0.921
34.4,6.359,3.125,1.856,0.874
34.5,6.182,3.024,1.79,0.826
34.6,6.007,2.923,1.724,0.778
34.7,5.844,2.821,1.658,0.731
34.8,5.681,2.72,1.592,0.683
34.9,5.519,2.618,1.525,0.636
35,5.356,2.517,1.456,0.588
35.1,5.19,2.416,1.388,0.54
35.2,5.012,2.314,1.319,0.494
35.3,4.834,2.213,1.251,0.45
35.4,4.657,2.112,1.182,0.405
35.5,4.479,2.01,1.113,0.361
35.6,4.301,1.911,1.045,0.317
35.7,4.124,1.812,0.976,0.273
35.8,3.946,1.713,0.908,0.229
35.9,3.768,1.614,0.839,0.185
36,3.592,1.516,0.771,0.141
36.1,3.417,1.417,0.703,0.097
36.2,3.242,1.318,0.635,0.053
36.3,3.067,1.219,0.568,
36.4,2.892,1.12,0.5,
36.5,2.717,1.021,0.433,
36.6,2.542,0.922,0.365,
36.7,2.367,0.823,0.298,
36.8,2.192,0.725,0.23,
36.9,2.017,0.626,0.163,
37,1.842,0.527,0.095,
37.1,1.666,0.428,0.028,
37.2,1.486,0.329,,
37.3,1.305,0.23,,
37.4,1.125,0.131,,
37.5,0.945,0.032,,
37.6,0.765,,,
37.7,0.584,,,
37.8,0.404,,,
37.9,0.224,,,
38,0.043,,,
